cycle,damage_ratio
0,0.0
14492,0.0
28985,0.00171
43478,0.00171
57971,0.00179
72463,0.00284
86956,0.00437
101449,0.00505
115942,0.01425
130434,0.01425
144927,0.01425
159420,0.01859
173913,0.02163
188405,0.0244
202898,0.02862
217391,0.04018
231884,0.04193
246376,0.04193
260869,0.05419
275362,0.05834
289855,0.06435
304347,0.07547
318840,0.08123
333333,0.08996
347826,0.09589
362318,0.10553
376811,0.1172
391304,0.13045
405797,0.13727
420289,0.1451
434782,0.15818
449275,0.17507
463768,0.1856
478260,0.19801
492753,0.21028
507246,0.22162
521739,0.24241
536231,0.25453
550724,0.26785
565217,0.28417
579710,0.29942
594202,0.31751
608695,0.33466
623188,0.35144
637681,0.37186
652173,0.39031
666666,0.41546
681159,0.43218
695652,0.44676
710144,0.47217
724637,0.49386
739130,0.51063
753623,0.53485
768115,0.56007
782608,0.58082
797101,0.60798
811594,0.62979
826086,0.65785
840579,0.68324
855072,0.70851
869565,0.7333
884057,0.76217
898550,0.79042
913043,0.81599
927536,0.84826
942028,0.87339
956521,0.90321
971014,0.93675
985507,0.97125
1000000,0.98
