time,acceleration_g
0.0,0.599
0.00094,0.665
0.00189,0.758
0.00283,-0.965
0.00377,0.783
0.00472,0.385
0.00566,-0.506
0.0066,0.165
0.00755,-0.18
0.00849,0.877
0.00943,0.06
0.01038,0.327
0.01132,0.588
0.01226,-0.198
0.01321,1.416
0.01415,2.373
0.01509,3.313
0.01604,2.157
0.01698,1.734
0.01792,3.204
0.01887,3.612
0.01981,5.307
0.02075,4.837
0.0217,5.091
0.02264,6.198
0.02358,7.178
0.02453,9.042
0.02547,10.51
0.02642,11.736
0.02736,13.514
0.0283,15.132
0.02925,16.061
0.03019,17.957
0.03113,19.513
0.03208,21.818
0.03302,23.399
0.03396,25.861
0.03491,27.371
0.03585,29.817
0.03679,30.758
0.03774,32.454
0.03868,34.807
0.03962,35.694
0.04057,35.734
0.04151,37.799
0.04245,38.329
0.0434,38.265
0.04434,39.639
0.04528,39.134
0.04623,38.929
0.04717,39.402
0.04811,39.088
0.04906,38.437
0.05,38.519
0.05094,36.351
0.05189,34.492
0.05283,33.449
0.05377,31.646
0.05472,30.276
0.05566,29.917
0.0566,27.781
0.05755,25.92
0.05849,23.375
0.05943,22.159
0.06038,22.029
0.06132,20.619
0.06226,20.028
0.06321,17.645
0.06415,15.497
0.06509,14.327
0.06604,14.506
0.06698,13.468
0.06792,13.763
0.06887,12.084
0.06981,11.602
0.07075,10.524
0.0717,9.663
0.07264,10.145
0.07358,9.224
0.07453,9.894
0.07547,9.693
0.07642,8.825
0.07736,9.382
0.0783,8.939
0.07925,8.994
0.08019,9.551
0.08113,8.253
0.08208,8.985
0.08302,8.657
0.08396,7.597
0.08491,8.027
0.08585,7.387
0.08679,7.008
0.08774,9.01
0.08868,7.721
0.08962,6.685
0.09057,7.377
0.09151,7.119
0.09245,7.076
0.0934,6.024
0.09434,5.714
0.09528,6.319
0.09623,5.97
0.09717,6.038
0.09811,4.922
0.09906,4.954
0.1,5.468
0.10094,4.839
0.10189,4.451
0.10283,4.66
0.10377,3.376
0.10472,4.656
0.10566,3.675
0.1066,4.795
0.10755,3.039
0.10849,1.771
0.10943,2.189
0.11038,3.825
0.11132,1.201
0.11226,2.545
0.11321,1.662
0.11415,2.455
0.11509,2.272
0.11604,1.115
0.11698,1.132
0.11792,1.9
0.11887,1.319
0.11981,1.122
0.12075,0.7
0.1217,0.177
0.12264,0.295
0.12358,1.24
0.12453,-0.243
0.12547,0.166
0.12642,0.82
0.12736,0.449
0.1283,0.102
0.12925,0.739
0.13019,-0.549
0.13113,0.495
0.13208,0.238
0.13302,0.745
0.13396,0.536
0.13491,0.123
0.13585,-0.735
0.13679,0.976
0.13774,0.355
0.13868,1.535
0.13962,-0.321
0.14057,0.346
0.14151,-0.011
0.14245,-0.19
0.1434,0.468
0.14434,-0.546
0.14528,-0.35
0.14623,-0.301
0.14717,0.602
0.14811,0.593
0.14906,1.155
0.15,-0.475
