time,kinetic_energy,internal_energy,hourglass_energy,kinetic,internal,hourglass
0.0,325.563,8.042,0.422,325.563,8.042,0.422
0.00126,324.425,13.449,0.348,324.425,13.449,0.348
0.00252,318.468,19.03,0.648,318.468,19.03,0.648
0.00378,307.643,24.39,0.828,307.643,24.39,0.828
0.00504,308.804,29.773,0.861,308.804,29.773,0.861
0.0063,299.635,34.567,1.03,299.635,34.567,1.03
0.00756,295.332,39.753,1.031,295.332,39.753,1.031
0.00882,288.799,45.265,1.04,288.799,45.265,1.04
0.01008,285.63,49.403,1.341,285.63,49.403,1.341
0.01134,278.916,54.252,1.294,278.916,54.252,1.294
0.01261,276.223,59.268,1.542,276.223,59.268,1.542
0.01387,271.111,63.818,1.505,271.111,63.818,1.505
0.01513,264.907,69.078,1.545,264.907,69.078,1.545
0.01639,262.834,73.134,1.76,262.834,73.134,1.76
0.01765,257.434,77.092,1.629,257.434,77.092,1.629
0.01891,253.259,83.315,1.939,253.259,83.315,1.939
0.02017,248.091,85.837,2.086,248.091,85.837,2.086
0.02143,243.62,90.35,2.074,243.62,90.35,2.074
0.02269,240.424,93.857,2.151,240.424,93.857,2.151
0.02395,235.216,98.264,2.27,235.216,98.264,2.27
0.02521,232.171,101.849,2.402,232.171,101.849,2.402
0.02647,225.182,106.914,2.564,225.182,106.914,2.564
0.02773,223.407,111.205,2.64,223.407,111.205,2.64
0.02899,218.92,113.15,2.653,218.92,113.15,2.653
0.03025,217.419,116.07,2.576,217.419,116.07,2.576
0.03151,212.802,120.25,2.865,212.802,120.25,2.865
0.03277,209.243,124.801,2.951,209.243,124.801,2.951
0.03403,205.794,127.646,3.171,205.794,127.646,3.171
0.03529,201.131,131.594,2.975,201.131,131.594,2.975
0.03655,198.315,135.927,2.944,198.315,135.927,2.944
0.03782,194.035,137.589,3.307,194.035,137.589,3.307
0.03908,189.527,141.394,3.333,189.527,141.394,3.333
0.04034,186.508,144.573,3.4,186.508,144.573,3.4
0.0416,184.136,149.039,3.391,184.136,149.039,3.391
0.04286,182.431,150.784,3.693,182.431,150.784,3.693
0.04412,177.207,154.626,3.906,177.207,154.626,3.906
0.04538,177.05,156.628,3.597,177.05,156.628,3.597
0.04664,173.522,159.347,3.529,173.522,159.347,3.529
0.0479,171.364,162.631,4.075,171.364,162.631,4.075
0.04916,166.619,164.077,3.826,166.619,164.077,3.826
0.05042,164.699,168.51,3.861,164.699,168.51,3.861
0.05168,161.174,170.473,4.112,161.174,170.473,4.112
0.05294,158.059,173.269,4.082,158.059,173.269,4.082
0.0542,155.417,176.26,4.096,155.417,176.26,4.096
0.05546,152.402,178.078,4.225,152.402,178.078,4.225
0.05672,149.961,181.298,4.179,149.961,181.298,4.179
0.05798,147.702,183.764,4.205,147.702,183.764,4.205
0.05924,145.937,187.924,4.326,145.937,187.924,4.326
0.0605,142.234,189.449,4.173,142.234,189.449,4.173
0.06176,140.798,192.388,4.132,140.798,192.388,4.132
0.06303,137.667,192.454,4.314,137.667,192.454,4.314
0.06429,136.824,195.809,4.45,136.824,195.809,4.45
0.06555,132.552,197.198,4.354,132.552,197.198,4.354
0.06681,130.297,198.628,4.287,130.297,198.628,4.287
0.06807,128.914,202.969,4.415,128.914,202.969,4.415
0.06933,126.172,205.865,4.303,126.172,205.865,4.303
0.07059,124.194,205.97,4.37,124.194,205.97,4.37
0.07185,122.314,208.662,4.293,122.314,208.662,4.293
0.07311,121.485,210.789,4.373,121.485,210.789,4.373
0.07437,117.925,212.322,4.442,117.925,212.322,4.442
0.07563,115.81,213.773,4.452,115.81,213.773,4.452
0.07689,115.884,216.839,4.437,115.884,216.839,4.437
0.07815,112.981,218.907,4.366,112.981,218.907,4.366
0.07941,111.172,220.049,4.365,111.172,220.049,4.365
0.08067,108.419,221.466,4.188,108.419,221.466,4.188
0.08193,106.99,224.098,4.492,106.99,224.098,4.492
