energy,total_dos
-6.0,0.0
-5.9245,0.01645
-5.8491,0.00804
-5.7736,0.00646
-5.6981,0.0
-5.6226,0.0
-5.5472,0.02413
-5.4717,0.01534
-5.3962,0.0
-5.3208,0.0
-5.2453,0.03084
-5.1698,0.03088
-5.0943,0.0
-5.0189,0.0021
-4.9434,0.0
-4.8679,0.0
-4.7925,0.0
-4.717,0.0
-4.6415,0.00984
-4.566,0.0
-4.4906,0.00393
-4.4151,0.0
-4.3396,0.0
-4.2642,0.02635
-4.1887,0.0
-4.1132,0.03484
-4.0377,0.08603
-3.9623,0.10423
-3.8868,0.22226
-3.8113,0.32719
-3.7358,0.44494
-3.6604,0.58753
-3.5849,0.75322
-3.5094,0.95789
-3.434,1.12004
-3.3585,1.27373
-3.283,1.35819
-3.2075,1.41965
-3.1321,1.40398
-3.0566,1.27261
-2.9811,1.14861
-2.9057,0.99415
-2.8302,0.8097
-2.7547,0.64265
-2.6792,0.51512
-2.6038,0.33986
-2.5283,0.26926
-2.4528,0.22568
-2.3774,0.22958
-2.3019,0.3042
-2.2264,0.38866
-2.1509,0.48982
-2.0755,0.64592
-2.0,0.82111
-1.9245,1.05301
-1.8491,1.20894
-1.7736,1.39341
-1.6981,1.64163
-1.6226,1.71598
-1.5472,1.82057
-1.4717,1.77992
-1.3962,1.7446
-1.3208,1.62156
-1.2453,1.46834
-1.1698,1.28826
-1.0943,1.08619
-1.0189,0.87157
-0.9434,0.6421
-0.8679,0.53926
-0.7925,0.36389
-0.717,0.28262
-0.6415,0.15568
-0.566,0.15129
-0.4906,0.04479
-0.4151,0.06783
-0.3396,0.0
-0.2642,0.04174
-0.1887,0.0
-0.1132,0.01411
-0.0377,0.02402
0.0377,0.0
0.1132,0.03832
0.1887,0.0
0.2642,0.02249
0.3396,0.0
0.4151,0.03265
0.4906,0.0
0.566,0.0
0.6415,0.00107
0.717,0.08246
0.7925,0.15175
0.8679,0.25917
0.9434,0.34464
1.0189,0.54679
1.0943,0.70818
1.1698,0.91996
1.2453,1.01719
1.3208,1.17874
1.3962,1.2001
1.4717,1.14166
1.5472,1.08129
1.6226,0.94739
1.6981,0.7018
1.7736,0.6042
1.8491,0.42388
1.9245,0.29239
2.0,0.24594
2.0755,0.19121
2.1509,0.21244
2.2264,0.24461
2.3019,0.30306
2.3774,0.33963
2.4528,0.4087
2.5283,0.51229
2.6038,0.62105
2.6792,0.67973
2.7547,0.77709
2.8302,0.8381
2.9057,0.85542
2.9811,0.91599
3.0566,0.90199
3.1321,0.87194
3.2075,0.82441
3.283,0.76118
3.3585,0.68607
3.434,0.563
3.5094,0.47174
3.5849,0.37133
3.6604,0.30672
3.7358,0.23124
3.8113,0.14476
3.8868,0.14516
3.9623,0.13626
4.0377,0.04831
4.1132,0.04344
4.1887,0.03713
4.2642,0.0
4.3396,0.04411
4.4151,0.00538
4.4906,0.00651
4.566,0.00399
4.6415,0.02011
4.717,0.0
4.7925,0.00485
4.8679,0.0
4.9434,0.0
5.0189,0.03221
5.0943,0.0
5.1698,0.0208
5.2453,0.05529
5.3208,0.01839
5.3962,0.0
5.4717,0.018
5.5472,0.02962
5.6226,0.0
5.6981,0.0
5.7736,0.0
5.8491,0.01953
5.9245,0.01885
6.0,0.01934
