iteration,total_energy,energy_delta
1,-107.999364,0.2
2,-108.2225,0.22313633
3,-108.393043,0.17054299
4,-108.51574,0.12269709
5,-108.610471,0.09473066
6,-108.686726,0.07625539
7,-108.739176,0.05244989
8,-108.783653,0.04447661
9,-108.80559,0.02193771
10,-108.829194,0.02360391
11,-108.853066,0.02387129
12,-108.858158,0.00509236
13,-108.873476,0.00381927
14,-108.882852,0.00286445
15,-108.885751,0.00289884
16,-108.889958,0.00217413
17,-108.883981,0.0016306
18,-108.893599,0.00122295
19,-108.895081,0.00091721
20,-108.89618,0.00109861
