material_id,formula,formation_energy,band_gap,stability_score,converged,cluster_id
SIM-MAT-0001,As3Al,-0.6706,0.543,0.7516,True,changsha
SIM-MAT-0002,SeGa3,-0.7343,0.0,0.99,True,guangzhou
SIM-MAT-0003,O3N,-0.0148,2.234,0.5608,True,kunshan
SIM-MAT-0004,SSe3,-0.8123,1.049,0.7579,True,jinan
SIM-MAT-0005,Si2As3,-0.8032,0.158,0.8746,True,changsha
SIM-MAT-0006,NSi3,-0.2566,2.591,0.749,True,guangzhou
SIM-MAT-0007,Ge3Ti2,-0.0629,0.88,0.4341,True,kunshan
SIM-MAT-0008,SiAl,-0.5737,0.318,0.8294,True,jinan
SIM-MAT-0009,Zn2S2,0.1073,0.361,0.4743,True,changsha
SIM-MAT-0010,Ga3Ti3,0.3124,1.945,0.5002,True,guangzhou
SIM-MAT-0011,Cu2N,-0.6833,3.798,0.928,True,kunshan
SIM-MAT-0012,Zn3N,-0.9138,0.777,0.8671,True,jinan
SIM-MAT-0013,Ti3As,-1.0089,3.756,0.9753,True,changsha
SIM-MAT-0014,SZn,-0.3005,1.275,0.6334,True,guangzhou
SIM-MAT-0015,Ga2Zn3,-0.2729,2.764,0.7459,True,kunshan
SIM-MAT-0016,Ge3Cu2,-0.4288,0.778,0.7972,True,jinan
SIM-MAT-0017,S2Cu3,-0.0915,0.0,0.5483,True,changsha
SIM-MAT-0018,TiN2,-0.3938,1.276,0.638,True,guangzhou
SIM-MAT-0019,Ge2Ga2,-0.2923,3.217,0.7881,True,kunshan
SIM-MAT-0020,Se3Cu2,-0.808,2.124,0.7086,True,jinan
SIM-MAT-0021,Ge3N2,-0.0772,3.339,0.5483,True,changsha
SIM-MAT-0022,Si3Se3,-0.2678,3.985,0.62,True,guangzhou
SIM-MAT-0023,N2Al,-0.6647,0.417,0.816,True,kunshan
SIM-MAT-0024,NGe,-0.5457,0.666,0.6989,True,jinan
SIM-MAT-0025,Ti3Al2,0.1028,0.957,0.5114,True,changsha
SIM-MAT-0026,As3N3,-0.6445,1.002,0.7716,True,guangzhou
SIM-MAT-0027,Si2Ti3,0.2927,0.0,0.4637,True,kunshan
SIM-MAT-0028,Zn3Al3,-0.1601,2.154,0.565,True,jinan
SIM-MAT-0029,SSi3,-0.3726,1.802,0.6963,True,changsha
SIM-MAT-0030,As2Zn,0.0477,2.892,0.5003,True,guangzhou
SIM-MAT-0031,As3Ga,0.3252,1.459,0.394,True,kunshan
SIM-MAT-0032,SeZn3,-0.9895,0.0,0.8979,True,jinan
SIM-MAT-0033,Ge2As,-1.4151,1.022,0.99,True,changsha
