time,max_temperature,avg_temperature
0.0,1249.67,899.67
2.128,1262.58,905.52
4.255,1293.44,929.55
6.383,1314.99,944.7
8.511,1327.26,951.21
10.638,1350.33,969.33
12.766,1355.13,970.16
14.894,1368.91,981.06
17.021,1393.14,1003.6
19.149,1386.27,996.28
21.277,1379.31,990.13
23.404,1389.09,1001.94
25.532,1401.35,1017.39
27.66,1399.0,1019.31
29.787,1390.67,1016.17
31.915,1380.7,1012.15
34.043,1379.17,1017.17
36.17,1359.66,1004.58
38.298,1345.39,997.39
40.426,1322.62,981.63
42.553,1320.68,986.42
44.681,1302.21,974.19
46.809,1285.17,962.7
48.936,1256.78,939.0
51.064,1250.23,936.13
53.191,1230.19,918.63
55.319,1219.6,909.39
57.447,1208.27,898.16
59.574,1199.06,887.79
61.702,1175.09,861.46
63.83,1157.61,840.47
65.957,1159.09,837.41
68.085,1164.68,837.58
70.213,1141.57,808.32
72.34,1155.65,815.73
74.468,1153.38,806.48
76.596,1154.47,800.48
78.723,1158.33,797.39
80.851,1154.36,786.8
82.979,1164.76,791.14
85.106,1155.55,776.61
87.234,1164.54,781.18
89.362,1167.45,780.72
91.489,1195.66,806.71
93.617,1188.48,798.53
95.745,1187.39,797.7
97.872,1201.16,812.97
100.0,1194.54,809.05
