time,max_velocity,avg_velocity
0.0,4.362e-09,1.654e-09
2.128,4.419e-09,1.608e-09
4.255,4.698e-09,1.776e-09
6.383,4.815e-09,1.86e-09
8.511,5.071e-09,1.918e-09
10.638,5.1e-09,1.945e-09
12.766,5.113e-09,1.877e-09
14.894,5.311e-09,1.904e-09
17.021,5.476e-09,1.943e-09
19.149,5.349e-09,2.05e-09
21.277,5.491e-09,1.95e-09
23.404,5.446e-09,2.176e-09
25.532,5.29e-09,1.951e-09
27.66,5.271e-09,2.002e-09
29.787,5.388e-09,2.037e-09
31.915,5.311e-09,1.925e-09
34.043,5.247e-09,1.905e-09
36.17,5.14e-09,2.05e-09
38.298,4.787e-09,1.768e-09
40.426,4.872e-09,1.861e-09
42.553,4.762e-09,1.766e-09
44.681,4.67e-09,1.706e-09
46.809,4.49e-09,1.786e-09
48.936,4.178e-09,1.563e-09
51.064,4.181e-09,1.534e-09
53.191,3.92e-09,1.38e-09
55.319,4.112e-09,1.55e-09
57.447,4.019e-09,1.478e-09
59.574,4.047e-09,1.541e-09
61.702,3.699e-09,1.446e-09
63.83,3.644e-09,1.367e-09
65.957,3.655e-09,1.364e-09
68.085,3.607e-09,1.309e-09
70.213,3.671e-09,1.312e-09
72.34,3.437e-09,1.283e-09
74.468,3.613e-09,1.27e-09
76.596,3.8e-09,1.418e-09
78.723,3.67e-09,1.461e-09
80.851,3.887e-09,1.376e-09
82.979,3.827e-09,1.411e-09
85.106,4.011e-09,1.508e-09
87.234,4.126e-09,1.571e-09
89.362,4.201e-09,1.505e-09
91.489,4.338e-09,1.722e-09
93.617,4.413e-09,1.625e-09
95.745,4.71e-09,1.667e-09
97.872,4.845e-09,1.74e-09
100.0,4.771e-09,1.825e-09
