iteration,residual,step_time
1,0.0689726145,0.7584
2,0.0586620699,0.7982
3,0.056502601,0.7868
4,0.0488361574,0.8196
5,0.0401157044,0.8017
6,0.0348221984,0.8663
7,0.0328780423,0.7974
8,0.0270014894,0.7909
9,0.0230480386,0.8068
10,0.0216060882,0.8729
11,0.0191885201,0.7958
12,0.0164755903,0.7878
13,0.0142207107,0.8335
14,0.0122732091,0.803
15,0.0107858909,0.8248
16,0.0096054212,0.8092
17,0.008201327,0.8517
18,0.0074121378,0.83
19,0.0064715845,0.7336
20,0.0055628585,0.8546
21,0.0048662488,0.819
22,0.0043415453,0.8258
23,0.0038494763,0.8079
24,0.0033026204,0.8562
25,0.0029402144,0.7978
26,0.0025202851,0.8361
27,0.0021652258,0.8218
28,0.0020430995,0.7891
29,0.0016216319,0.8532
30,0.0014840671,0.8567
31,0.0013002746,0.7896
32,0.0010617246,0.8084
33,0.0010010992,0.7865
34,0.0008457507,0.7776
35,0.0007355799,0.7214
36,0.0006683701,0.804
37,0.0005545575,0.7799
38,0.0005115196,0.8402
39,0.0004407481,0.8322
40,0.0003868442,0.8551
