time,amplitude
0.0,0.00682
0.0503,-0.02733
0.1006,0.01122
0.1509,-0.00749
0.2013,0.00089
0.2516,-0.00053
0.3019,-0.02001
0.3522,-0.01468
0.4025,-0.03876
0.4528,0.01909
0.5031,0.04269
0.5535,-0.0084
0.6038,-0.00868
0.6541,-0.01191
0.7044,-0.01239
0.7547,0.00719
0.805,-0.00654
0.8553,0.01496
0.9057,0.00588
0.956,-0.0112
1.0063,0.0224
1.0566,-0.03391
1.1069,-0.40483
1.1572,0.11336
1.2075,0.9655
1.2579,-0.24352
1.3082,-0.18573
1.3585,-0.01615
1.4088,0.0161
1.4591,-0.00305
1.5094,0.03156
1.5597,0.00858
1.6101,-0.01408
1.6604,0.01942
1.7107,0.01571
1.761,-0.00695
1.8113,-0.0145
1.8616,0.01055
1.9119,-0.03668
1.9623,0.00603
2.0126,-0.03171
2.0629,0.01129
2.1132,0.03005
2.1635,0.00528
2.2138,-0.00943
2.2642,0.04017
2.3145,-0.00481
2.3648,-0.00241
2.4151,0.03266
2.4654,0.01587
2.5157,-0.0244
2.566,-0.02565
2.6164,-0.07491
2.6667,-0.22354
2.717,-0.17099
2.7673,0.39012
2.8176,0.44018
2.8679,-0.03803
2.9182,-0.20012
2.9686,-0.03755
3.0189,-0.03105
3.0692,0.02344
3.1195,0.00704
3.1698,-0.01882
3.2201,0.03095
3.2704,0.00851
3.3208,0.0016
3.3711,2e-05
3.4214,0.02844
3.4717,-0.00047
3.522,-0.00222
3.5723,0.00577
3.6226,0.03716
3.673,0.0302
3.7233,-0.00401
3.7736,0.00459
3.8239,0.01274
3.8742,0.00505
3.9245,0.01118
3.9748,-0.02117
4.0252,-0.02506
4.0755,0.00613
4.1258,0.01356
4.1761,0.00892
4.2264,-0.00153
4.2767,-0.02605
4.327,-0.06689
4.3774,-0.08185
4.4277,-0.12653
4.478,-0.05487
4.5283,0.11579
4.5786,0.26632
4.6289,0.23287
4.6792,0.04579
4.7296,-0.09933
4.7799,-0.0702
4.8302,-0.06806
4.8805,-0.0146
4.9308,0.0005
4.9811,-0.00734
5.0314,-0.02704
5.0818,0.0277
5.1321,-0.04358
5.1824,0.01391
5.2327,-0.0107
5.283,0.00351
5.3333,-0.00664
5.3836,-0.01277
5.434,-0.01264
5.4843,0.00605
5.5346,-0.00719
5.5849,0.01778
5.6352,-0.042
5.6855,0.00278
5.7358,-0.00474
5.7862,0.04464
5.8365,0.01206
5.8868,0.01024
5.9371,0.0285
5.9874,-0.01578
6.0377,-0.01693
6.0881,0.01129
6.1384,-0.01193
6.1887,0.0335
6.239,0.00872
6.2893,-0.0185
6.3396,0.00787
6.3899,0.02621
6.4403,0.00055
6.4906,-0.02828
6.5409,-0.007
6.5912,-0.04686
6.6415,0.0033
6.6918,-0.01307
6.7421,-0.03301
6.7925,0.00409
6.8428,0.02195
6.8931,0.02557
6.9434,0.00674
6.9937,-0.03028
7.044,0.03396
7.0943,-0.00298
7.1447,-0.02815
7.195,0.00166
7.2453,0.01427
7.2956,-0.00394
7.3459,-0.02262
7.3962,0.01204
7.4465,0.01208
7.4969,-0.01529
7.5472,0.02357
7.5975,-0.00447
7.6478,-0.01931
7.6981,-0.03605
7.7484,0.01937
7.7987,0.01705
7.8491,0.0343
7.8994,0.03717
7.9497,0.00162
8.0,0.004
