step,loss,learning_rate,tokens_per_second,gpu_utilization,communication_overhead
50,4.95367,1.875e-05,181583.2,86.59,13.8
100,4.73654,3.75e-05,195475.5,88.07,13.36
150,4.57147,5.625e-05,181597.3,87.01,15.87
200,4.36479,7.5e-05,172432.6,88.19,13.88
250,4.22162,9.375e-05,176934.6,78.72,15.06
300,4.07209,0.0001125,175400.6,87.36,12.09
350,3.92584,0.00013125,177428.7,85.07,10.49
400,3.79216,0.00015,183329.2,86.64,8.0
450,3.63942,0.00016875,205315.2,85.12,10.29
500,3.55339,0.0001875,185816.6,85.05,8.83
550,3.42577,0.00020625,186158.3,87.11,14.01
600,3.28987,0.000225,189039.8,90.7,10.63
650,3.20772,0.00024375,181582.3,88.16,15.09
700,3.09525,0.0002625,184498.2,85.35,10.48
750,3.02393,0.00028125,162926.0,80.25,10.37
800,2.91628,0.0003,182275.0,94.77,12.03
850,2.84402,0.00029982,186826.2,79.41,9.48
900,2.76123,0.00029928,196899.9,86.66,12.87
950,2.6989,0.00029838,197763.9,83.1,8.75
1000,2.62802,0.00029712,174281.2,86.62,8.68
1050,2.53757,0.0002955,173657.1,85.0,16.36
1100,2.46103,0.00029354,177303.4,85.8,8.91
1150,2.39509,0.00029123,188893.9,90.04,10.94
1200,2.35773,0.00028858,180464.7,90.98,11.96
1250,2.2745,0.0002856,185751.5,92.72,12.32
1300,2.26551,0.00028229,188406.1,87.67,16.13
1350,2.18849,0.00027866,199434.1,86.67,12.25
1400,2.17442,0.00027472,174300.0,83.93,17.44
1450,2.0885,0.00027048,186734.3,89.05,11.94
1500,2.04721,0.00026595,161699.3,87.88,14.55
1550,2.03413,0.00026114,172919.9,79.4,12.94
1600,2.01424,0.00025607,189279.3,93.47,10.8
1650,1.9822,0.00025073,188719.0,85.67,9.88
1700,1.94679,0.00024516,191561.0,87.04,12.58
1750,1.90786,0.00023935,200261.6,84.65,12.41
1800,1.85936,0.00023334,176093.6,89.07,8.0
1850,1.83295,0.00022712,174224.8,89.18,11.37
1900,1.78937,0.00022071,174215.7,92.41,15.24
1950,1.75908,0.00021413,181776.2,87.24,13.48
2000,1.80949,0.0002074,168339.7,94.91,10.71
2050,1.72945,0.00020053,184227.5,91.78,12.69
2100,1.68289,0.00019354,186843.6,93.75,9.1
2150,1.707,0.00018645,191976.0,96.0,10.0
2200,1.63993,0.00017926,199881.0,88.97,16.78
2250,1.64838,0.00017201,181846.2,90.47,8.0
2300,1.64721,0.0001647,184492.6,87.68,12.89
2350,1.63246,0.00015736,190529.7,86.4,12.95
2400,1.61664,0.00015,181027.2,87.02,8.87
2450,1.57782,0.00014264,194477.5,82.65,8.74
2500,1.58465,0.0001353,188196.2,90.11,9.45
2550,1.577,0.00012799,177843.5,88.63,11.72
2600,1.5384,0.00012074,195194.4,89.29,14.41
2650,1.53927,0.00011355,194477.9,87.35,12.24
2700,1.5468,0.00010646,189904.0,95.95,14.22
2750,1.49486,9.947e-05,179905.9,90.7,14.2
2800,1.51709,9.26e-05,189877.2,87.61,13.61
2850,1.5329,8.587e-05,194956.7,83.84,9.32
2900,1.49757,7.929e-05,188517.0,88.19,11.91
2950,1.49147,7.288e-05,179457.3,88.35,13.9
3000,1.47298,6.666e-05,176747.3,94.01,13.4
3050,1.48128,6.065e-05,189345.6,81.72,11.92
3100,1.45512,5.484e-05,176435.7,94.88,8.0
3150,1.45518,4.927e-05,170768.2,91.29,12.76
3200,1.45226,4.393e-05,176428.5,84.92,10.84
3250,1.46375,3.886e-05,173737.5,83.76,8.0
3300,1.45466,3.405e-05,176688.8,87.33,11.54
3350,1.41852,2.952e-05,188212.1,96.0,12.74
3400,1.44717,2.528e-05,191918.8,78.81,13.22
3450,1.46382,2.134e-05,190000.4,88.57,9.55
3500,1.40658,1.771e-05,188399.4,92.36,9.27
3550,1.43382,1.44e-05,189573.4,92.02,15.94
3600,1.4101,1.142e-05,172935.8,91.96,11.16
3650,1.43758,8.77e-06,195980.1,89.81,12.66
3700,1.3993,6.46e-06,169116.9,86.65,11.56
3750,1.40776,4.5e-06,176609.5,86.65,11.99
3800,1.41201,2.88e-06,179425.0,84.02,10.7
3850,1.41214,1.62e-06,188142.3,90.58,11.88
3900,1.39183,7.2e-07,186512.7,91.85,8.82
3950,1.37848,1.8e-07,191983.1,87.07,9.47
4000,1.38946,0.0,178106.2,95.2,16.58
