epoch,total_loss,physics_loss,data_loss,validation_error
1,1.400596,1.624513,1.064719,0.450869
2,1.417403,1.678645,1.02554,0.423967
3,1.328841,1.528815,1.02888,0.419366
4,1.325897,1.543247,0.999872,0.393664
5,1.227811,1.414622,0.947594,0.378759
6,1.153843,1.332496,0.885862,0.362939
7,1.116437,1.273117,0.881417,0.342184
8,1.066359,1.203391,0.860809,0.328505
9,0.998741,1.097385,0.850773,0.309865
10,0.994004,1.110904,0.818653,0.307951
11,0.889573,0.986905,0.743575,0.293535
12,0.893671,0.985942,0.755265,0.290308
13,0.812772,0.87802,0.7149,0.273727
14,0.776483,0.842902,0.676855,0.259239
15,0.790523,0.862191,0.683021,0.240222
16,0.726033,0.786774,0.634922,0.235417
17,0.740945,0.78607,0.673259,0.231141
18,0.663614,0.700758,0.607897,0.21619
19,0.616026,0.652383,0.561492,0.210176
20,0.601001,0.62013,0.572308,0.206325
21,0.590906,0.627924,0.53538,0.185088
22,0.565813,0.600404,0.513926,0.172846
23,0.556928,0.585429,0.514177,0.176972
24,0.511605,0.51745,0.502839,0.171541
25,0.485404,0.49451,0.471745,0.166332
26,0.466055,0.480289,0.444704,0.155146
27,0.463651,0.466343,0.459612,0.146568
28,0.415963,0.412288,0.421475,0.143249
29,0.401059,0.405172,0.394888,0.142561
30,0.397987,0.396267,0.400568,0.134849
31,0.380596,0.372706,0.39243,0.126992
32,0.360017,0.343424,0.384906,0.137462
33,0.360553,0.354723,0.369298,0.126226
34,0.33069,0.314547,0.354905,0.118603
35,0.317849,0.302923,0.340238,0.102206
36,0.301487,0.290426,0.318078,0.105548
37,0.283301,0.269673,0.303741,0.1065
38,0.283997,0.263643,0.314528,0.089758
39,0.264064,0.244298,0.293713,0.092116
40,0.273611,0.258018,0.297001,0.092629
41,0.253068,0.236254,0.278289,0.090607
42,0.251601,0.233356,0.27897,0.094521
43,0.241027,0.222796,0.268374,0.079093
44,0.236412,0.219022,0.262497,0.075236
45,0.224353,0.199512,0.261615,0.083389
46,0.214944,0.190666,0.251361,0.066776
47,0.197194,0.1733,0.233034,0.063927
48,0.191868,0.173189,0.219887,0.06667
49,0.195089,0.17368,0.227203,0.070219
50,0.186173,0.161201,0.223631,0.065147
51,0.175488,0.153948,0.207797,0.07052
52,0.170863,0.151963,0.199212,0.064421
53,0.167438,0.146182,0.199322,0.054437
54,0.159743,0.134306,0.197899,0.064486
55,0.149301,0.12525,0.185379,0.050509
56,0.153664,0.129397,0.190064,0.060318
57,0.14397,0.12995,0.165001,0.050225
58,0.141661,0.126056,0.165069,0.046391
59,0.136057,0.118409,0.162528,0.052301
60,0.130027,0.114532,0.15327,0.048022
61,0.125183,0.105705,0.1544,0.04438
62,0.124721,0.106776,0.151637,0.042994
63,0.12134,0.10674,0.14324,0.046619
64,0.119654,0.100499,0.148388,0.044805
65,0.118602,0.100155,0.146273,0.038811
66,0.112246,0.099604,0.13121,0.042737
67,0.106582,0.09172,0.128876,0.04026
68,0.101963,0.089055,0.121324,0.034568
69,0.096346,0.086272,0.111458,0.032437
70,0.098592,0.087127,0.115789,0.040819
