iteration,best_cost,average_cost
1,123.925,135.968
2,118.398,130.059
3,114.373,126.033
4,110.36,121.306
5,105.602,116.939
6,102.781,114.399
7,100.437,111.001
8,97.315,107.468
9,94.702,105.062
10,92.957,103.9
11,90.577,100.523
12,88.427,98.168
13,86.577,96.44
14,85.762,95.742
15,84.129,93.45
16,83.87,94.228
17,81.834,91.468
18,80.631,89.614
19,80.242,89.252
20,79.45,88.333
21,78.842,87.594
22,77.643,86.301
23,77.426,86.127
24,75.755,85.046
25,76.708,85.25
26,76.138,85.218
27,75.113,84.169
28,75.165,84.044
29,74.105,83.319
30,74.033,82.538
31,74.18,83.138
32,73.975,83.049
33,73.192,81.976
34,73.506,82.259
35,73.581,81.939
36,72.176,80.611
37,72.352,81.187
38,72.14,81.144
39,72.232,81.239
40,72.156,80.729
