step,formation_error,active_uavs,completed_uavs
1,2.6178,1000,10
2,2.4701,1000,21
3,2.4005,1000,31
4,2.1997,981,42
5,2.181,1000,52
6,2.1091,979,63
7,2.0249,984,74
8,1.844,939,84
9,1.7628,936,95
10,1.6455,915,105
11,1.6138,917,116
12,1.525,942,127
13,1.4527,892,137
14,1.3878,884,148
15,1.3995,910,158
16,1.298,870,169
17,1.1986,878,179
18,1.217,871,190
19,1.0917,831,201
20,1.0407,838,211
21,0.9672,816,222
22,1.0003,837,232
23,0.9258,797,243
24,0.9002,813,254
25,0.8967,776,264
26,0.8514,790,275
27,0.8195,749,285
28,0.7966,728,296
29,0.7784,767,306
30,0.7632,724,317
31,0.6735,700,328
32,0.6642,708,338
33,0.6638,718,349
34,0.6384,692,359
35,0.5796,668,370
36,0.6066,698,381
37,0.5218,677,391
38,0.5342,653,402
39,0.572,655,412
40,0.5096,629,423
41,0.4873,592,433
42,0.4958,584,444
43,0.4124,608,455
44,0.4216,564,465
45,0.4658,575,476
46,0.4343,567,486
47,0.4464,572,497
48,0.4313,518,508
49,0.4343,527,518
50,0.4036,550,529
51,0.3853,492,539
52,0.388,477,550
53,0.3601,474,560
54,0.4004,508,571
55,0.3938,495,582
56,0.3151,457,592
57,0.3653,449,603
58,0.3456,416,613
59,0.3038,407,624
60,0.3897,427,635
